Correct Sentence,Errneous Sentence,Error Type,Error Subtype,Error Description,Grammarly,Ginger,ProWrittingAid,LanguageTools,After thr Deadline
The child who has a rash was just diagnosed with measles./ The child has a rash.,The child who has a rash.,Sentence Structure Error,Fragment error,missing verb,YES,NO,NO,NO,NO
"Since the drugs have many side effects, the patient should be monitored/The drugs have many side effects. ",Since the drugs have many side effects.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,YES,NO
"After the doctor performed the operation, the patient died./The doctor performed the operation; the patient died./The doctor performed the operation. The patient died.",The doctor performed the operation the patient died.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Although the doctor performed the operation, the patient died/The doctor performed the operation; the patient died./The doctor performed the operation. The patient died.","The doctor performed the operation, the patient died.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
We have hundreds of pages of reading to do; it will be impossible to finish it all before the exam. / We have hundreds of pages of reading to do. it will be impossible to finish it all before the exam. ,"We have hundreds of pages of reading to do, it will be impossible to finish it all before the exam.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
"I tried to clean the house, but I gave up and watched soap operas instead.","I tried to clean the house, I gave up and watched soap operas instead. ",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
"I repaired all the structural errors in my paper, and then I turned it in. ","I repaired all the structural errors in my paper, then I turned it in.",Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
Sentence fragments are confusing and distracting to readers.,Confusing and distracting to readers. ,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
" Because they are confusing and distracting to readers, writers should generally avoid sentence fragments.", Because they are confusing and distracting to readers.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
" They gossiped about many things at lunch; they always have the most to say about their coworkers./ They gossiped about many things at lunch. They always have the most to say about their coworkers./Although they gossiped about many things at lunch, they always have the most to say about their coworkers.",They gossiped about many things at lunch they always have the most to say about their coworkers.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Although the result of the study was inconclusive, the committee decided to implement the policy.",Although the result of the study was inconclusive.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"If the result of the study confirmed the writer’s hypothesis, it would be a major breakthrough in the world of biochemistry.", If the result of the study confirmed the writer’s hypothesis.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
The study conducted by the university is  helpfull.,The study conducted by the university.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
The result of the study is not so good.,The result of the study.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
The Exam Conducted by the university in 2008.,Conducted by the university in 2008.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
"The survey shows that more than 80% of the population agrees that racism is rife. However, only 12% of the population admits that they are racist.",The survey shows that more than 80% of the population agrees that racism is rife however only 12% of the population admits that they are racist.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
" More than 80% of the population agrees that racism is rife; 12% of the population admits that they are racist./ More than 80% of the population agrees that racism is rife, and 12% of the population admits that they are racist.","More than 80% of the population agrees that racism is rife, 12% of the population admits that they are racist.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
The election failed because the ruling party refused to hand over power.,Because the ruling party refused to hand over power.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
The project ran over the deadline. Data processing was extensive./The project ran over the deadline; data processing was extensive./The project ran over the deadline because data processing was extensive.,"The project ran over the deadline, data processing was extensive.",Sentence Structure Error,Run-on error,missing conjunction,NO,NO,YES,NO,NO
"Jimmy likes to take cream and sugar with his coffee when he drinks it warm; he also likes it black./Jimmy likes to take cream and sugar with his coffee when he drinks it warm. He also likes it black./Jimmy likes to take cream and sugar with his coffee, but when he drinks it warm, he also likes it black.","Jimmy likes to take cream and sugar with his coffee when he drinks it warm, he also likes it black.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
Ducks fly.,Ducks.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
"Haggard and elderly ducks and geese fly slower, lower, and with more caution.","Fly slower, lower, and with more caution.",Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
The dog catches the ball.,Catches the ball.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
The ball is caught.,The ball.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
The coast was clear.,When the coast was clear.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"A tall, thin man with owlish spectacles and a bald head is bad.","A tall, thin man with owlish spectacles and a bald head.",Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
Boat Floated toward the beaches. ,Floated toward the beaches. ,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
"Detailed decontamination is a lengthy process, usually carried on at a home base or rear area."," Detailed decontamination is a lengthy process, it is usually carried on at a home base or rear area.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
"If you come home on time, I will buy you a present.",If you come home on time.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"When it rains, the gutters become clogged.",When it rains.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"Because he is mean, I will not take a class from him.",Because he is mean.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
John is a musician. He plays the guitar for a living.,"John is a musician, he plays the guitar for a living.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
The girl walked home. She decided not to ride the bus.,"The girl walked home, she decided not to ride the bus.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
He could only guess at the number of guests who attended the party. The entire yard was filled with people.,"He could only guess at the number of guests who attended the party, the entire yard was filled with people.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
"There is a problem with the television; however, no one is available to fix it.",There is a problem with the television however no one is available to fix it.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
Nobody knows what really happened; the policeman said there was a fight.,Nobody knows what really happened the policeman said there was a fight.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
That is the problem when people have conflict. They attack each other personally.,That is the problem when people have conflict they attack each other personally.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
I had never eaten so much.,Had never eaten so much.,Sentence Structure Error,Fragment error,missing subject,YES,NO,NO,NO,NO
I was nervous.,Being nervous.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
The chips and beer tasted great.,The chips and beer.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
"I enjoyed the anthology very much. The stories still remain in my mind./I enjoyed the anthology very much; the stories still remain in my mind./I enjoyed the anthology very much, so the stories still remain in my mind.",I enjoyed the anthology very much the stories still remain in my mind.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"I enjoyed the anthology very much. The stories still remain in my mind./I enjoyed the anthology very much; the stories still remain in my mind./I enjoyed the anthology very much, so the stories still remain in my mind.","I enjoyed the anthology very much, the stories still remain in my mind.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,YES,NO,NO
"After the concert, I went straight home. ",After the concert.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
My brother bought a cake and ate the whole thing. ,And ate the whole thing. ,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"Everyone went to the concert, including me. ",Including me. ,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
I love hanging out with friends.,Hanging out with friends. ,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
She's at the mall looking for a new dress. ,Looking for a new dress.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
He came home covered in dirt. ,Covered in dirt. ,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
I'm saving up to go to Spain. ,To go to Spain.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
"The weather was so beautiful. We stayed outside all day./The weather was so beautiful, so we stayed outside all day./The weather was so beautiful that we stayed outside all day./ The weather was so beautiful. Therefore, we stayed outside all day./The weather was so beautiful; therefore, we stayed outside all day. ",The weather was so beautiful we stayed outside all day.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
Joe went to the store .,Went to the store.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
Sarah and Jessie are going swimming .,Sarah and Jessie.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
The frog jumped and landed in the pond .,Jumped and landed in the pond.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
"The pizza smells, delicious .","Smells, delicious.",Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
There is a fly in the car with us .,In the car with us.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
The music is too loud for my ears .,Is too loud for my ears.,Sentence Structure Error,Fragment error,missing subject,YES,NO,NO,NO,NO
Alice ran towards the stadium .,Ran towards the stadium.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
Brent and Ben are going hunting tomorrow morning .,Brent and Ben.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
The dysfunctional went straight down in the ocean .,Went straight down in the ocean.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
The printer is out of ink .,Is out of ink.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
"Despite reading all night , the girl failed the test .",Despite reading all night.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"If he had not run all the way home , he would have been caught in the rain .",If he had not run all the way home.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
My mother likes dogs that don't bark .,That don't bark.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"As long as you go with me , I will go .",As long as you go with me.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"As the clock struck noon , my father breathed his last .",As the clock struck noon.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"Although I hate to miss your class , I will not be there Friday .",Although I hate to miss your class.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"When I was walking home from school , I slipped and fell on the ice .",When I was walking home from school.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"Because Kevin had limited experience , the company was hesitant to hire him .",Because Kevin had limited experience.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
The company was hesitant to hire Kevin because he had limited experience .,Because he had limited experience.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"If you work hard , you will shine in life .",If you work hard.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"While he waited at the train station , Joe realized that the train was late .",While he waited at the train station.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
"Though Ajay is poor , he is honest .",Though Ajay is poor.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"However , I answer this question anyway , regardless of my feelings .","However, I answer this question anyway.",Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"Although my boyfriend invited me , I chose not to go to the party .",Although my boyfriend invited me.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,NO,NO
"Even when students study , they still sometimes fail .",Even when students study.,Sentence Structure Error,Fragment error,missing main clause,NO,NO,NO,YES,NO
They say it's your birthday ; it's my birthday too! ,They say it's your birthday it's my birthday too! ,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
Management is doing things right ; leadership is doing the right things .,Management is doing things right leadership is doing the right things.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
She wanted to play tennis ; he wanted to play basketball .,She wanted to play tennis he wanted to play basketball.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
She wanted to play tennis ; he wanted to play basketball .,She wanted to play tennis  he wanted to play basketball.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
I made the cake ; my sister decorated it .,I made the cake  my sister decorated it.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
We don’t eat meat ; we’re vegetarians .,We don’t eat meat  we’re vegetarians.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Jen hadn’t enjoyed the play ; as a result , she didn’t recommend it .","Jen hadn’t enjoyed the play  as a result, she didn’t recommend it.",Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"I absolutely love singing ; on the other hand , my sister hates it .","I absolutely love singing  on the other hand, my sister hates it.",Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Jack Sprat did not eat fat , and his wife would not eat lean .",Jack Sprat did not eat fat his wife would not eat lean.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"The storm destroyed our squash , so we ate eggplant instead .",The storm destroyed our squash we ate eggplant instead.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Both the shed fell down , and the garage blew up .",Both the shed fell down the garage blew up.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"Either you need to study harder ,or you need to drop the class .",Either you need to study harder you need to drop the class.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
"I like coffee, and Mary likes tea .",I like coffee Mary likes tea.,Sentence Structure Error,Run-on error,missing conjunction,NO,NO,NO,NO,NO
The Angel Falls waterfall in Venezuela plunges 907 metres ; it looks spectacular .,"The Angel Falls waterfall in Venezuela plunges 907 metres , it looks spectacular.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
The entire town was flooded ; people used boats .,"The entire town was flooded, people used boats.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
We always shop at the supermarket ; it's got everything in one place .,"We always shop at the supermarket, it's got everything in one place.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
Call us next week ; it should be in then .,"Call us next week, it should be in then.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
You can pay online ; we accept all major credit cards .,"You can pay online, we accept all major credit cards.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
I only write non-fiction ; I've never tried fiction .,"I only write non-fiction, I've never tried fiction.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
"Frantic is my favourite film ; however , I've only seen it once .","Frantic is my favourite film, I've only seen it once.",Sentence Structure Error,Run-on error,wrong comma,NO,NO,NO,NO,NO
Three hundred persons can sit in it .,Three hundred persons.,Sentence Structure Error,Fragment error,missing verb,NO,NO,NO,NO,NO
This hall is large enough for three hundred person to sit in .,Is large enough for three hundred person to sit in.,Sentence Structure Error,Fragment error,missing subject,YES,NO,NO,NO,NO
She has much time .,Has much time.,Sentence Structure Error,Fragment error,missing subject,YES,NO,NO,NO,NO
It was black in colour .,Black in colour.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
I met friend .,Met friend.,Sentence Structure Error,Fragment error,missing subject,NO,NO,NO,NO,NO
I can’t wait to travel to Paris next week!,I can’t wait to travel to Paris next week.,Punctuation Error,,missing the exclamation mark,NO,NO,NO,NO,NO
I can’t believe I got into law school!,I can’t believe! I got into law school.,Punctuation Error,,misplace exclamation mark,NO,NO,NO,NO,NO
Yuck! I hate coconuts!,Yuck! I hate coconuts.,Punctuation Error,,missing the exclamation mark,NO,NO,NO,NO,NO
That was an impressive victory! Congratulations!,That was an impressive victory Congratulations!,Punctuation Error,,missing the exclamation mark,NO,NO,NO,NO,NO
Please don’t stay out too late tonight!,Please don’t stay! out too late tonight.,Punctuation Error,,misplace exclamation mark,NO,NO,NO,NO,NO
"Get out of here, now!","Get out! of here, now.",Punctuation Error,,misplace exclamation mark,NO,NO,NO,NO,NO
Go to your room this instant!,Go to your room! this instant!,Punctuation Error,,unnecessary use exclamation mark,NO,NO,NO,NO,NO
How are you feeling?,How are you feeling.,Punctuation Error,,missing the question mark,YES,NO,YES,NO,NO
"You can’t be serious, can you?","You can’t be serious, can you.",Punctuation Error,,missing the question mark,YES,NO,NO,NO,NO
It really ended just like that?/It ended just like that. ,It really ended just like that. ,Punctuation Error,,missing the question mark,NO,NO,NO,NO,NO
"When I was traveling in Croatia, I met a lot of interesting people./When I was traveling to Croatia, I met a lot of interesting people.",We can go to the movies tonight or we can just stay home.,Punctuation Error,,misssing the comma,NO,NO,NO,YES,NO
"We have always wanted to buy a boat, sell everything, and set sail.","We have always wanted to buy a boat, sell everything and set sail.",Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
"Either Tom, Bill, Jen, or Michelle will lead the seminar.","Either Tom, Bill, Jen, or Michelle will, lead the seminar.",Punctuation Error,,unnecessary use comma,YES,NO,YES,NO,NO
"In a way, they are both right.",In a way they are both right.,Punctuation Error,,missing the comma,YES,NO,YES,NO,NO
"When I was traveling in Croatia, I met a lot of interesting people./When I was traveling to Croatia, I met a lot of interesting people.","When I was traveling in Croatia, I met a lot, of interesting people.",Punctuation Error,,unnecessary use comma,NO,NO,YES,NO,NO
"The office, an old colonial building, badly needed repairs.","The office, an old colonial building badly needed repairs. ",Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
"The mirror, which was a gift from my grandmother, was broken during the storm.","The mirror which was a gift from my grandmother, was broken during the storm.",Punctuation Error,,missing the comma,NO,NO,YES,NO,NO
"Find me something to dig with, such as a shovel or spade, so I can plant these flowers.","Find me something to dig with, such as a shovel, or spade, so I can plant these flowers.",Punctuation Error,,unnecessary use comma,NO,NO,NO,NO,NO
"I’m from Portland, Oregon, but I’ve lived in Washington, D.C., for more than 10 years. ","I’m from Portland, Oregon, but I’ve lived in Washington, D.C. for more than 10 years. ",Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
"I first arrived in Europe on September 6, 2010.",I first arrived in Europe on September 6 2010.,Punctuation Error,,missing the comma,YES,NO,YES,YES,NO
"There are over 15,000 protestors gathered outside Capitol Hill.","There are over 15,000 protestors gathered, outside Capitol Hill.",Punctuation Error,,unnecessary use comma,NO,NO,YES,NO,NO
"All I’m taking on the road trip is my truck, along with its spare tire; a radio, which only kind of works; and my dog.","All I’m taking on the road trip is my truck, along with its spare tire a radio, which only kind of works; and my dog.",Punctuation Error,,missing the semi colon,NO,NO,NO,NO,NO
"Jen hadn’t enjoyed the play; as a result, she didn’t recommend it to her friend.",Jen hadn’t enjoyed the play; as a result; she didn’t recommend it to her friend.,Punctuation Error,,used semicolon instead of comma,NO,NO,NO,NO,NO
I hope the traffic isn't too bad; I don't want to be late for the movie.,I hope the traffic isn't too bad I don't want to be late for the movie.,Punctuation Error,,missing the semi colon,NO,NO,NO,NO,NO
"My father had a phrase he was fond of repeating: ‘Hope for the best, but prepare for the worst.’","My father had a phrase he was fond of repeating ‘Hope for the best, but prepare for the worst.’",Punctuation Error,,missing the colon,NO,NO,NO,NO,NO
Do you have any sugar-free cookies?,Do you have any sugar free cookies?,Punctuation Error,,missing the hyphen,NO,NO,NO,NO,YES
It is the only 10-storey building in the town./It is the only 10-story building in the town.,It is the only 10-storey building in the town?,Punctuation Error,,unnecessary question mark,NO,NO,NO,NO,NO
My old-fashioned aunt would never approve.,My old fashioned aunt would never approve.,Punctuation Error,,missing the hyphen,NO,NO,YES,YES,YES
This behavior is decidedly un-American.,This behavior is-decidedly un-American.,Punctuation Error,,unnecessary used hyphen,NO,NO,NO,NO,NO
"I don’t mean to second-guess you, but you should check the work again.","I don’t mean to second guess you, but you should check the work again.",Punctuation Error,,missing the hyphen,NO,NO,NO,NO,NO
We need you to submit your expense report for January–March./We need you to give your expense report for January–March.,We need you to submit your expense report for January March.,Punctuation Error,,missing dash,NO,NO,NO,NO,NO
I’ll be in the office 8:00 AM–4:00 PM this Friday./I’ll be in the office at 8:00 AM–4:00 PM this Friday.,I’ll be in the office 8:00 AM 4:00 PM this Friday.,Punctuation Error,,missing dash,NO,NO,NO,NO,NO
The board voted 5–4 to accept the proposal.,The board voted 5 to 4 to accept the proposal.,Punctuation Error,,used 'to' instead of dash,NO,NO,NO,NO,NO
We will begin boarding the Denver–Chicago flight shortly.,"We will begin boarding, the Denver–Chicago flight shortly.",Punctuation Error,,unnecessary use comma,NO,NO,YES,NO,NO
The Republican–Democrat divide on the issue has only widened in recent months./The Republican–Democrat division on the issue has only widened in recent months.,The Republican Democrat divide on the issue has only widened in recent months.,Punctuation Error,,missing the dash,YES,NO,NO,NO,NO
Each candidate must be sure to provide his/her references before the interview.,"Each candidate must be sure to provide his,her references before the interview. ",Punctuation Error,,used comma instead of slash,NO,NO,NO,NO,NO
"Whoever is leading the group study, he/she needs to keep detailed notes about how the time is spent.","Whoever is leading the group study, he-she needs to keep detailed notes about how the time is spent.",Punctuation Error,,used dash instead of slash,NO,NO,NO,NO,NO
"We’ll need a signed statement from you and/or your employer [one, the other, or both].","We’ll need a signed statement, from you and/or your employer [one, the other, or both].",Punctuation Error,,unnecessary use of comma,NO,NO,YES,NO,NO
"Rent is $650/month [$650 per month], due on the first day of each month./Rent is $650/month [$650 per month], do on the first day of each month.",Rent is $650/month [$650 per month] due on the first day of each month.,Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
This singer/songwriter’s [singer who is also a songwriter] work never fails to impress.,This singer songwriter’s [singer who is also a songwriter] work never fails to impress.,Punctuation Error,,missing the slash,NO,NO,NO,NO,NO
Use hyphens b/w [between] compounds.,"Use hyphens, b/w [between] compounds.",Punctuation Error,,unnecessary comma,NO,NO,NO,NO,NO
Will be late because of traffic./I will be late because of traffic.,"Will be late, because of traffic.",Punctuation Error,,unnecessary comma,NO,NO,YES,NO,NO
This plan doesn’t [does not] make any sense.,This plan doesnt [does not] make any sense.,Punctuation Error,,missing apostrophe,YES,YES,YES,YES,YES
It’s [it is] a very unfortunate circumstance.,It’s [it is] a very unfortunate! circumstance.,Punctuation Error,,unnecessary exclamation mark,NO,NO,NO,NO,NO
I hope you’re [you are] happy in your new job.,I hope youre [you are] happy in your new job.,Punctuation Error,,missing apostrophe,YES,YES,YES,YES,YES
Please don’t [do not] do anything you aren’t [are not] sure about.,Please dont [do not] do anything you aren’t [are not] sure about.,Punctuation Error,,missing apostrophe,YES,YES,YES,YES,NO
We were looking everywhere for Jonathan’s bike!,We were looking everywhere for Jonathan’s bike.,Punctuation Error,,missing exclamation mark,NO,NO,NO,NO,NO
The kids’ play room is a mess.,The kids’ play room is a mess?,Punctuation Error,,unnecessary question mark,NO,NO,NO,NO,NO
We could stay in my family’s cabin for the weekend./  We could stay at my family's cabin for the weekend.,We could stay in my familys' cabin for the weekend.,Punctuation Error,,misplace apostrophe,YES,YES,NO,NO,YES
 Police are gathering witnesses’ testimonies regarding the incident.,Police are gathering witnesses testimonies regarding the incident.,Punctuation Error,,missing apostrophe,YES,NO,YES,NO,NO
We’ll have to rely on people’s donations to stay open.,We’ll have to rely on peoples' donations to stay open.,Punctuation Error,,misplace apostrophe,NO,NO,NO,NO,YES
"Two or three of the spectators were sniffling, and one was weeping loudly. ",Two or three of the spectators were sniffling and one was weeping loudly.,Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
" Dirk was going home to dinner, and I proposed to find a doctor. ", Dirk was going home to dinner and I proposed to find a doctor. ,Punctuation Error,,missing the comma,NO,NO,YES,NO,NO
