Correct Sentence,Errneous Sentence,Error Type,Error Subtype,Error Description,Grammarly,Ginger,ProWrittingAid,LanguageTools,After thr Deadline
"It was an unscheduled stop, and the platform of the small station was crowded with people.","It was an unscheduled stop, and the platform of the small station, was crowded with people.",Punctuation Error,,unnecessary use comma,YES,NO,YES,NO,NO
"It is true that the exact historical connections are often hard to establish, but a social context must always be presumed. /Indeed, the exact historical connections are often hard to establish but a social context must always be presumed. /It is true that the exact historical connections are often hard to set up but a social context must always be presumed.",It is true that the exact historical connections are often hard to establish but a social context must always be presumed. ,Punctuation Error,,missing the comma,NO,NO,YES,NO,NO
"Nevertheless, the conditions behind the kitchen door were suitable for a pigsty.",Nevertheless the conditions behind the kitchen door were suitable for a pigsty.,Punctuation Error,,missing the comma,YES,NO,YES,YES,NO
"Aside from that remark, all our conversation was aboutpersonalities. ",Aside from that remark all our conversation was about personalities. ,Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
"Taking out the crumpled paper, I looked at the telephone number.","Taking out the crumpled paper I looked at the, telephone number.",Punctuation Error,,misplace comma,NO,NO,YES,NO,NO
"He is, as we say, a creature of circumstance.","He is, as we say a creature of circumstance.",Punctuation Error,,missing the comma,NO,NO,YES,NO,NO
"It was blindingly, glaringly hot.",It was blindingly glaringly hot.,Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
Everything else on the farm was destroyed.,"Everything else on the farm, was destroyed.",Punctuation Error,,unnecessary comma,YES,NO,YES,NO,NO
The bowers and arbors in these villa gardens are among the loveliest we’ve seen.,"The bowers and arbors in these villa gardens, are among the loveliest we’ve seen.",Punctuation Error,,unnecessary comma,YES,NO,NO,NO,NO
"The Vespa was somehow far more stable than I had expected and wonderfully easy to ride. /The Vespa, was somehow far more stable than I had expected and wonderfully easy to ride. ","The Vespa, was somehow, far more stable than I had expected and wonderfully easy to ride. ",Punctuation Error,,unnecessary comma,NO,NO,YES,NO,NO
"Our panelists hail from San Francisco, Los Angeles, and Seattle./Our panelists hail from San Francisco; Los Angeles and Seattle.","Our panelists hail from San Francisco; Los Angeles, and Seattle.",Punctuation Error,,used semicolon instead of comma  ,NO,NO,NO,NO,NO
These boys possess what Jane calls “a one-track mind.”/These boys have what Jane calls: “a one-track mind.”,These boys possess what Jane calls: “a one-track mind.”,Punctuation Error,,unnecessary use colon,NO,NO,NO,NO,NO
Macduff’s grief (as Malcolm has urged) is converted toexpedient anger.," Macduff’s grief, (as Malcolm has urged) is converted to expedient anger.",Punctuation Error,,unnecessary comma,NO,NO,YES,NO,NO
 Betting circulars cannot be sent to those under twenty-one years of age.,Betting circulars cannot be sent to those under twenty one years of age.,Punctuation Error,,missing the hyphen,YES,NO,YES,YES,YES
Where is the gas station?,Where is the gas station.,Punctuation Error,,missing the question mark,YES,NO,YES,NO,NO
Who is your teacher?/Who? Is your teacher.,Who? is your teacher.,Punctuation Error,,misplace use question mark,NO,NO,NO,NO,NO
Why did you stop here?,Why did you stop here.,Punctuation Error,,missing the question mark,YES,NO,YES,NO,NO
Did they go to the party?,"Did, they go to the party?",Punctuation Error,,unnecessary use comma,NO,NO,YES,NO,NO
Does he likes apples?/Does! He likes apples?,Does! he likes apples?,Punctuation Error,,unnecessary exclamation mark,YES,NO,NO,NO,NO
Are you there?,Are you there.,Punctuation Error,,missing the question mark,NO,NO,YES,NO,NO
Do you know her name?,"Do you, know her name?",Punctuation Error,,unnecessary use comma,NO,NO,YES,NO,NO
Is she the teacher?/Is? She the teacher?,Is? she the teacher?,Punctuation Error,,unnecessary use question mark,NO,NO,NO,NO,NO
When will you arrive?,When will you arrive.,Punctuation Error,,missing the question mark,YES,NO,YES,NO,NO
How did you do that?,"How, did you do that?",Punctuation Error,,unnecessary use comma,NO,NO,YES,NO,NO
"The dog is brown, right?",The dog is brown right?,Punctuation Error,,missing the comma,YES,NO,YES,NO,NO
"Lisa is not here, is she?","Lisa is not here, is she",Punctuation Error,,missing question mark,NO,NO,YES,NO,NO
I asked her to pay the bill./Did I ask her to pay the bill?,I asked her to pay the bill?,Punctuation Error,,used question mark instead of full stop,NO,NO,NO,NO,NO
The teacher asked for their homework.,The teacher asked for their homework?,Punctuation Error,,used question mark instead of full stop,NO,NO,NO,NO,NO
My sister's name is Lisa.,My sisters name is Lisa.,Punctuation Error,,missing the apostrophe,YES,YES,YES,NO,NO
The baby's name is Grace.,The babys name is Grace.,Punctuation Error,,missing the apostrophe,YES,YES,YES,NO,YES
School starts on Wednesday./Does school start on Wednesday? ,School starts on Wednesday?,Punctuation Error,,used the question mark instead of full stop,NO,NO,NO,NO,NO
I like to eat pizza.,I like to eat pizza!,Punctuation Error,,used the exclamation mark,NO,NO,NO,NO,NO
The baby is crying.,The baby is crying,Punctuation Error,,missing the full stop,NO,NO,NO,NO,NO
The dog is brown.,The dog is brown?,Punctuation Error,,used question mark instead of full stop,NO,NO,NO,NO,NO
She asked me why I didn't go to school yesterday.,She asked me why I didn't go to school yesterday?,Punctuation Error,,used question mark instead of full stop,NO,NO,NO,NO,NO
"She has a lovely, black horse.",She has a lovely black horse.,Punctuation Error,,missing the comma,NO,NO,NO,NO,NO
I like to read in a brightly lit room.,"I like to read in a brightly, lit room.",Punctuation Error,,used the comma,NO,NO,YES,NO,NO
"We walked the dog for a friendly, elderly lady./We walked, the dog for a friendly elderly woman.","We walked, the dog for a friendly elderly lady.",Punctuation Error,,misplaced comma,NO,NO,NO,NO,NO
He was born in March 1981.,"He was born in March, 1981.",Punctuation Error,,unnecessary used comma ,YES,NO,YES,YES,NO
"I am traveling to Austin, Texas, to visit my sister.","I am traveling to Austin Texas, to visit my sister.",Punctuation Error,,missing the comma,NO,YES,YES,NO,NO
"She was born in San Diego, California, in 1980.","She was born in San Diego California, in 1980.",Punctuation Error,,missing the comma,NO,YES,YES,NO,NO
"Yes, teacher, I will finish my work.","Yes, teacher, I will finish my work?",Punctuation Error,,used the question mark,NO,NO,NO,NO,NO
"Do you like horses, Joe?","Do you like horses, Joe.",Punctuation Error,,missing the question mark,NO,NO,NO,NO,NO
"Now, it is time to start the movie.","Now, it is time to start the movie!",Punctuation Error,, exclamation mark instead of full stop,NO,NO,NO,NO,NO
"Finally, I am finished with my homework!",Finally I am finished with my homework!,Punctuation Error,,missing the comma,YES,NO,YES,YES,NO
That dog is going to bite me!,That dog is going to bite me.,Punctuation Error,,missing the exclamation mark,NO,NO,NO,NO,NO
The car is ours.,The car is our's.,Punctuation Error,,unnecessary used the apostrophe,YES,NO,YES,YES,NO
He often quarrelled with his friends.,He often quarelled with his friends.,Spelling Error,,quarelled used instead of quarrelled,YES,NO,YES,YES,YES
We haven't ever been there.,We haven't ever beeen there.,Spelling Error,,beeen used instead of been,YES,YES,YES,YES,YES
It was impossible to know his father's name.,It was impossibble to know his father's name.,Spelling Error,,impossibble used instead of impossible,YES,YES,YES,YES,YES
The two of us work late hours. ,The two of us work lete hours. ,Spelling Error,,lete used instead of late,YES,YES,YES,YES,NO
It was drizzling.,It was drizling.,Spelling Error,,drizling used instead of drizzling,YES,YES,YES,YES,YES
It was difficult to work.,It was defficult to work.,Spelling Error,,defficult used instead of difficult,YES,YES,YES,YES,YES
His mother never gave him corporal punishment.,His mother never gave him carporal punishment.,Spelling Error,,carporal used instead of  corporal,YES,YES,YES,YES,YES
He took his food hurriedly.,He took his food huriedly.,Spelling Error,,huriedly used instead of  hurriedly,YES,YES,YES,YES,YES
He put on his shirt immediately.,He put on his shirt imediately. ,Spelling Error,,imediately used instead of immediately,YES,YES,YES,YES,YES
You've had enough exercise for today.,You've had enough exircise for today.,Spelling Error,,exircise used instead of exercise,YES,YES,YES,YES,YES
I accept your decision.,I acept your decision.,Spelling Error,,acept used instead of accept,YES,YES,YES,YES,YES
I like everything except that.,I like everything execpt that.,Spelling Error,,execpt used instead of except,YES,YES,YES,YES,YES
His mischief was decidedly above the average.,His misschief was decidedly above the average.,Spelling Error,,misschief used instead of mischief ,YES,YES,YES,YES,YES
Our trip was definitely a success.,Our trip was dafinitely a success.,Spelling Error,,dafinitely used instead of definitely,YES,YES,YES,YES,YES
I commenced my work from 1st July./I commence my work from 1st July.,I commanced my work from 1st July.,Spelling Error,,commanced used instead of commenced/commence ,YES,YES,YES,YES,YES
I lost my class schedule.,I lost my class schedual.,Spelling Error,,schedual used instead of schedule,YES,YES,YES,YES,YES
He was excited to see her dressed up for the occasion.,He was excited to see her dressed up for the occassion.,Spelling Error,,occassion used of occasion ,YES,YES,YES,YES,YES
It is necessary to protect trees.,It is neccessary to protect.,Spelling Error,,neccessary used of necessary,YES,YES,YES,YES,YES
"If she truly loved him, she would let him go.","If she truely loved him, she would let him go.",Spelling Error,,truely used instead of truly ,YES,YES,YES,YES,YES
The court granted a judgment in favor of the plaintiffs.,The court granted a judgement in favor of the plaintiffs.,Spelling Error,,judgement used instead of judgment,YES,NO,NO,NO,NO
 I wouldn't recommend that movie to anyone., I wouldn't reccommend that movie to anyone.,Spelling Error,,reccommend used instead of recommend ,YES,YES,YES,YES,YES
You are two separate people. ,You are two seperate people. ,Spelling Error,,seperate used instead of separate,YES,YES,YES,YES,YES
Come to me tomorrow morning.,Come to me tommorrow morning.,Spelling Error,,tommorrow  used instead of tomorrow,YES,YES,YES,YES,YES
 Her pronunciation of his name was pleasantly accented., Her pronounciation of his name was pleasantly accented.,Spelling Error,,pronounciation used of instead of  pronunciation ,YES,YES,YES,YES,YES
You shall receive proper pay for your work.,You shall recieve proper pay for your work.,Spelling Error,,recieve used instead of receive ,YES,YES,YES,YES,YES
"It did not turn his mill, and it was no privilege to him to behold it.","It did not turn his mill, and it was no priviledge to him to behold it.",Spelling Error,,priviledge used instead of privilege,YES,YES,YES,YES,YES
This building needs regular maintenance.,This building needs regular maintainence.,Spelling Error,,maintainence used of instead of maintenance,YES,YES,YES,YES,YES
The ceilings were too low to accommodate his terrific height.,The ceilings were too low to accommoddate his terrific height.,Spelling Error,,accommoddate used instead of accommodate,YES,YES,YES,YES,YES
 His eye fell on a misspelled word., His eye fell on a mispelled word.,Spelling Error,,mispelled used instead of misspelled,YES,YES,YES,YES,YES
Your army has devastated the high palaces.,Your army has devestated the high palaces.,Spelling Error,,devestated used instead of devastated,YES,YES,YES,YES,YES
His death affected me.,His death affceted me.,Spelling Error,,affceted used instead of affected,YES,YES,YES,YES,YES
I had to go to jail several times.,I had to go to jail savaral times.,Spelling Error,,savaral used instead of several,YES,YES,YES,YES,YES
You must have committed a sin.,You must have commited a sin.,Spelling Error,,commited  used instead of committed ,YES,YES,YES,YES,YES
Our government will have educated every man.,Our governmment will have educated every man.,Spelling Error,,governmment used instead of government,YES,YES,YES,YES,YES
He just wanted to drink a few beers in peace.,He just wanted to drink a few beers in peaec.,Spelling Error,,peaec used instead of peace,YES,YES,YES,YES,YES
The new scheme works splendidly.,The new schame works splendidly.,Spelling Error,,schame used instead of scheme,YES,YES,YES,YES,YES
I like mystery without dead bodies.,I like mistery without dead bodies.,Spelling Error,,mistery used instead of mystery,YES,YES,YES,YES,YES
 Do you have an airplane ticket back home? , Do you have an airplain ticket back home? ,Spelling Error,,airplain used instead of airplane,YES,YES,YES,NO,YES
He even had a birth certificate for me. ,He even had a birth cartificate for me. ,Spelling Error,, cartificate used instead of  certificate,YES,YES,YES,YES,YES
Maybe the effects of the liquor would wear off by morning.,Maybe the effects of the liqour would wear off by morning.,Spelling Error,,liqour used instead of liquor,YES,YES,YES,YES,YES
The day is declining.,The day is declinning.,Spelling Error,,declinning used instead of declining,YES,YES,YES,YES,YES
"After a short time, darkness is going to prevail.","After a short time, darknness is going to prevail.",Spelling Error,,darknness used instead of darknesss ,YES,YES,YES,YES,YES
I don't give a damn if he escapes. ,I don't give a damn if he escepes. ,Spelling Error,,escepes used instead of escapes,YES,YES,YES,YES,YES
All the students are sitting in the class.,All the students are siting in the class.,Spelling Error,,siting used instead of sitting,YES,YES,NO,NO,NO
He must be suffering from fever.,He must be sufering from fever.,Spelling Error,,sufering used instead of suffering,YES,YES,YES,YES,YES
The peacock must be dancing somewhere.,The peacoke must be dancing somewhere.,Spelling Error,,peacoke used instead of peacock,YES,NO,YES,NO,YES
Faith in peace is now gaining ground.,Faith in peace is now gainning ground.,Spelling Error,, gainning used instead of  gaining,YES,YES,YES,YES,YES
They were not besieging the booking office.,They were not bisieging the booking office.,Spelling Error,,bisieging used instead of besieging,YES,YES,YES,YES,YES
The Death rate was on the increase.,The Death rate was on the incriase.,Spelling Error,, incriase  used instead of increase,YES,YES,YES,YES,YES
I shall be writing books.,I shall be writting books.,Spelling Error,,writting used instead of writing,YES,YES,YES,YES,YES
The teacher bade his pupils to serve guests.,The teacher bade his pupels to serve guests.,Spelling Error,,pupels used instead of pupils,YES,NO,YES,YES,YES
I saw a fallen tree.,I saw a falen tree.,Spelling Error,,falen used instead of fallen,YES,YES,YES,YES,YES
His fault was that he spoke quite contrary.,His fault was that he spoke quite contrarry.,Spelling Error,,contrarry used instead of contrary,YES,YES,YES,YES,YES
I can't believe I've finally found you.,I can't beleive I've finally found you.,Spelling Error,,believe used instead of believe,YES,YES,YES,YES,YES
The officer abused the servant.,The officer abussed the servant.,Spelling Error,, abussed used instead of  abused,YES,YES,YES,YES,YES
"The drunkenness produced by kava is of melancholy, silent and drowsy character.","The drunkeness produced by kava is of melancholy, silent and drowsy character.",Spelling Error,,drunkeness used instead of drunkenness,YES,NO,YES,YES,YES
His phone rang as he reached for a dumbbell.,His phone rang as he reached for a dumbell.,Spelling Error,,dumbell used instead of dumbbell,NO,YES,YES,YES,YES
There's nothing to be embarrassed about. ,There's nothing to be embarassed about. ,Spelling Error,, embarassed used instead of  embarrassed,YES,YES,YES,YES,YES
The photographer came early to set up his equipment.,The photographer came early to set up his equiptment.,Spelling Error,,equiptment used instead of equipment,YES,YES,YES,YES,YES
 We felt exhilarated by our walk along the beach. , We felt exilarated by our walk along the beach. ,Spelling Error,,exilarated used instead of exhilarated,YES,YES,YES,YES,YES
The wind velocity did not exceed 20 km.,The wind velocity did not excede 20 km.,Spelling Error,,excede used instead of exceed,YES,YES,YES,YES,YES
He does not believe in the existence of ghosts.,He does not believe in the existance of ghosts.,Spelling Error,,existance used instead of existence,YES,YES,YES,YES,YES
He has a lot of experience in these matters.,He has a lot of experiance in these matters.,Spelling Error,,experiance used instead of experience,YES,YES,YES,YES,YES
Fiery pain tore through her as he stabbed her in the neck. ,Firy pain tore through her as he stabbed her in the neck. ,Spelling Error,,firy used instead of fiery,YES,YES,NO,YES,NO
Large movements in any large foreign market are newsworthy.,Large movements in any large foriegn market are newsworthy.,Spelling Error,, foriegn used instead of foreign,YES,YES,YES,YES,YES
It was a matter of great sorrow that he was hurled down.,It was a matter of great sorow that he was hurled down.,Spelling Error,,sorow used instead of sorrow,YES,YES,YES,YES,YES
She was grateful to him.,She was greatful to him.,Spelling Error,,greatful used instead of grateful,YES,YES,NO,YES,YES
The first show was going to commence.,The first show was going to commance.,Spelling Error,,commance used instead of commence,YES,NO,YES,YES,YES
 She was constantly harassed by the other students., She was constantly harrassed by the other students.,Spelling Error,,harrassed  used instead of harassed,YES,YES,YES,YES,YES
"He's about the same height and weight, but he's younger.","He's about the same heigth and weight, but he's younger.",Spelling Error,,heigth used instead of height,YES,YES,YES,YES,YES
What is the hierarchy in the formulation of different types of environmental plans?,What is the heirarchy in the formulation of different types of environmental plans?,Spelling Error,,heirarchy used instead of hierarchy,YES,YES,YES,YES,YES
"He has a humorous and poetic side, too.","He has a humrous and poetic side, too.",Spelling Error,,humrous used instead of humorous,YES,YES,YES,YES,YES
"At the same time, their ignorance was profound.","At the same time, their ignorence was profound.",Spelling Error,,ignorence used instead of ignorance,YES,YES,YES,YES,YES
I like space to do some independent experiments too.,I like space to do some independant experiments too.,Spelling Error,,independant used instead of independent ,YES,YES,YES,YES,YES
I'm sure a woman with intelligence will shock you.,I'm sure a woman with intelligance will shock you.,Spelling Error,, intelligance used instead of intelligence,YES,YES,YES,YES,YES
Her jewelry box was tiny and wooden.,Her jewelery box was tiny and wooden.,Spelling Error,,jewelery used instead of jewelry,YES,YES,NO,YES,NO
The kernel is sound enough though the husk is a poor thing.,The kernal is sound enough though the husk is a poor thing.,Spelling Error,,kernal used instead of kernel,YES,YES,YES,YES,YES
"His leisure time was given up to natural history, and especially to mineralogy and botany.","His liesure time was given up to natural history, and especially to mineralogy and botany.",Spelling Error,,liesure used instead of leisure,YES,YES,YES,YES,YES
She left the library to return Damian's phone.,She left the liberry to return Damian's phone.,Spelling Error,, liberry  used instead of library,YES,YES,NO,NO,NO
I read the license plate.,I read the licsence plate.,Spelling Error,,licsence used instead of license,YES,YES,YES,YES,YES
The millennium is the period between the first and second comings of Christ.,The millenium is the period between the first and second comings of Christ.,Spelling Error,,millenium used instead of millennium,YES,YES,YES,YES,YES
An idea brought a mischievous smile to her lips.,An idea brought a mischeivus smile to her lips.,Spelling Error,, mischeivus used instead of mischievous,YES,YES,YES,YES,YES
I left him with my neighbor and haven't been able to reach her.,I left him with my neighbour and haven't been able to reach her.,Spelling Error,,neighbour used instead of neighbor,YES,YES,NO,YES,NO
Occasionally I climbed and shook the trees.,Occassionally I climbed and shook the trees.,Spelling Error,,Occassionally  used instead of Occasionally ,YES,YES,YES,YES,YES
"'A most unusual occurrence for the season, Madam,' Fred replied.","'A most unusual occurrance for the season, Madam,' Fred replied.",Spelling Error,,occurrance used instead of occurrence,YES,YES,YES,YES,YES
He had perseverance in good works.,He had perseverence in good works.,Spelling Error,,perseverence used instead of perseverance,YES,YES,NO,YES,YES
"Department personnel operated on the basis of out-of-sight, out-of-mind.","Department personel operated on the basis of out-of-sight, out-of-mind.",Spelling Error,, personel used instead of personnel,YES,YES,NO,YES,YES
"As a result, nothing disturbed his peaceable possession of the sea.","As a result, nothing disturbed his peaceable posession of the sea.",Spelling Error,, posession used instead of  possession,YES,YES,YES,YES,YES
"It did not turn his mill, and it was no privilege to him to behold it.","It did not turn his mill, and it was no privelege to him to behold it.",Spelling Error,,privelege  used instead of privilege,YES,YES,YES,YES,YES
He ran down the receipt that was found in Byrne's car.,He ran down the reciept that was found in Byrne's car.,Spelling Error,, reciept used instead of receipt,YES,YES,YES,YES,YES
Fred ignored Dean's reference to pudginess.,Fred ignored Dean's referance to pudginess.,Spelling Error,,referance uses instead of reference,YES,YES,YES,YES,YES
"You know when you cross that threshold, there's no going back.","You know when you cross that threshhold, there's no going back.",Spelling Error,,threshhold used instead of threshold,YES,YES,YES,YES,YES
Some children like to think that the rules are not relevant to them.,Some children like to think that the rules are not revelent to them.,Spelling Error,, revelent used instead of relevant,YES,NO,NO,YES,NO
The Twelfth Army is on its way back from Europe.,The Twelth Army is on its way back from Europe.,Spelling Error,,Twelth used instead of Twelfth,YES,YES,YES,YES,YES
A farmer lived in Jabalpur.,A fermer lived in Jabalpur.,Spelling Error,,fermer used instead farmer,YES,YES,YES,YES,YES
We went to bed and slept until morning.,We went to bed and slept untill morning.,Spelling Error,,untill used instead of until,YES,YES,YES,YES,NO
The liquid is then evaporated under a vacuum of 27 to 28 in.,The liquid is then evaporated under a vacum of 27 to 28 in.,Spelling Error,,vacum used instead of vacuum,YES,YES,YES,YES,YES
Her new movie has received excellent reviews. .,Her new movie has received excillent reviews. ,Spelling Error,,excillent used instead of excellent,YES,YES,YES,YES,YES
Cunning persons generally play a trick upon gentle ones.,Cuning persons generally play a trick upon gentle ones.,Spelling Error,,Cuning  used instead of Cunning ,YES,YES,YES,YES,NO
He retrieved orange juice from the fridge.,He retrieved orange juise from the fridge.,Spelling Error,, juise used instead of juice,YES,YES,YES,YES,YES
The sun doesn’t rise in the West.,The sun don’t rise in the West.,Syntax Error,Subject verb agreement,used don't instead of doesn't (Third person singular),YES,YES,YES,NO,NO
They are not British.,They is not British.,Syntax Error,Subject verb agreement,used is instead of are (Third person plural ),YES,YES,YES,YES,NO
I am from the United States.,I is from the United States.,Syntax Error,Subject verb agreement,used is instead of am (First person singular),YES,YES,YES,YES,YES
John is sleeping at the moment.,John am sleeping at the moment.,Syntax Error,Subject verb agreement,used am instead of is (Third person singular),YES,YES,YES,NO,NO
Am I wearing the right uniform?,Is I wearing the right uniform?,Syntax Error,Subject verb agreement,used is instead of am (First person singular),YES,YES,NO,YES,NO
The managers are working on the new project.,The managers is working on the new project.,Syntax Error,Subject verb agreement,used is instead of are (Third person plural ),YES,YES,YES,YES,NO
I have seen this movie already.,I has seen this movie already.,Syntax Error,Subject verb agreement,used has seen instead of have seen(First person singular),YES,YES,YES,YES,YES
She has never flown on an airplane before.,She have never flown on an airplane before.,Syntax Error,Subject verb agreement,used have instead of has (Third person singular),YES,NO,YES,YES,NO
I was their accountant at the time.,I were their accountant at the time.,Syntax Error,Subject verb agreement,used were instead of was (First person singular),YES,YES,YES,YES,YES
He was not serious.,He were not serious.,Syntax Error,Subject verb agreement,used were instead of was ( Third person singular),YES,YES,YES,YES,YES
What were you talking about when I arrived?,What was you talking about when I arrived?,Syntax Error,Subject verb agreement,used was instead of were (second person singular),YES,YES,NO,NO,NO
Were you sleeping when I called?, Was you sleeping when I called?,Syntax Error,Subject verb agreement,used was instead of were (second person singular),YES,YES,NO,NO,NO
We are heading to the park.,We is heading to the park.,Syntax Error,Subject verb agreement,used is instead of are (first person plural),YES,YES,YES,YES,NO
She has been to Prague.,She have been to Prague.,Syntax Error,Subject verb agreement,Used have been instead of has been( Third person singular),YES,YES,YES,YES,NO
He is crying because of the movie.,He are crying because of the movie.,Syntax Error,Subject verb agreement,used are instead of is (Third person singular),YES,YES,YES,YES,YES
She is running for president.,She am running for president.,Syntax Error,Subject verb agreement,used am instead of is (Third person singular),YES,YES,YES,YES,YES
I am going home now.,I are going home now.,Syntax Error,Subject verb agreement,used are instead of am (first person singular),YES,YES,YES,YES,NO
Has she not been feeling well?,Have she not been feeling well?,Syntax Error,Subject verb agreement,used have instead of has (Third person singular),YES,NO,YES,YES,NO
We were working on our assignment when our parents came home.,We was working on our assignment when our parents came home.,Syntax Error,Subject verb agreement,used was instead of were (first person plural),YES,YES,YES,YES,NO
The phone rang as they were leaving.,The phone rang as they was leaving.,Syntax Error,Subject verb agreement,used was instead of were (Third person plural),YES,YES,YES,YES,NO
She is a United States senator.,She is an United States senator.,Syntax Error,Article error,used 'an' instead of 'a',YES,YES,NO,YES,YES
My mother is an honest woman.,My mother is a honest woman.,Syntax Error,Article error,used 'a' instead of 'an',YES,YES,YES,YES,YES
Eliza will bring a small gift to Sophie’s party.,Eliza will bring an small gift to Sophie’s party.,Syntax Error,Article error,used 'an' instead of 'a',YES,YES,YES,YES,YES
I heard an interesting story yesterday.,I heard a interesting story yesterday.,Syntax Error,Article error,used 'a' instead of 'an',YES,YES,YES,YES,YES
Please give me some water./Please give me water.,Please give me a water.,Syntax Error,Article error,used 'a' instead of some (Uncountable Noun),YES,NO,YES,YES,NO
Please give me a bottle of water.,Please give me some bottle of water.,Syntax Error,Article error,used 'some' instead of 'a' (countable Noun),YES,NO,NO,NO,NO
I like to play baseball.,I like to play the baseball.,Syntax Error,Article error,unnecessary used 'the' ,YES,NO,NO,NO,NO
My sister was always good at math .,My sister was always good at the math .,Syntax Error,Article error,unnecessary used 'the' ,YES,NO,NO,NO,NO
I like the flowers in your garden.,I like flowers in your garden.,Syntax Error,Article error,missing article 'the',YES,NO,NO,NO,NO
The Smiths live in Chicago./An Smith live in Chicago.,An Smiths live in Chicago.,Syntax Error,Article error,used 'an' instead of 'the' (plural noun),NO,NO,NO,NO,NO
The mother is going to the school.,The mother is going to school.,Syntax Error,Article error,missing article 'the',NO,NO,NO,NO,NO
The student goes to school.,The student goes to the school.,Syntax Error,Article error,unnecessary used 'the' ,YES,NO,NO,NO,NO
Did you bring an umbrella?,Did you bring a umbrella?,Syntax Error,Article error,used 'a' instead of 'an',YES,YES,YES,YES,YES
I was born into a poor family.,I was born into an poor family.,Syntax Error,Article error,used 'an' instead of 'a',YES,YES,YES,YES,YES
Take me to your leader.,Take me to the your leader.,Syntax Error,Article error,unnecessary used 'the' ,YES,NO,YES,YES,NO
